grid_id,date,time,region,gmv,cnt_call,is_exp,const
OL10F1i392j591,2020/2/21,7,1,0.21726450152137844,2.0126428907105356,0,1
OL10F1i392j591,2020/2/21,8,1,0.0,-0.32618159390548757,0,1
OL10F1i392j591,2020/2/21,9,1,0.0,-0.32618159390548757,0,1
OL10F1i392j591,2020/2/21,10,1,1.6138610631404064,2.0126428907105356,1,1
OL10F1i392j591,2020/2/21,11,1,0.0,-0.32618159390548757,0,1
OL10F1i392j591,2020/2/21,12,1,0.8329078089260202,2.0126428907105356,1,1
OL10F1i392j591,2020/2/21,13,1,0.0,-0.32618159390548757,0,1
OL10F1i392j591,2020/2/21,14,1,1.94393597891327,2.0126428907105356,1,1
OL10F1i392j591,2020/2/21,15,1,6.162246171077091,5.910683698403907,0,1
OL10F1i392j591,2020/2/21,16,1,6.088129183936018,8.24950818301993,1,1
OL10F1i392j591,2020/2/21,17,1,4.430851552347777,9.029116344558606,0,1
OL10F1i392j591,2020/2/21,18,1,3.307470551170349,4.351467375326558,1,1
OL10F1i392j591,2020/2/21,19,1,3.5439909366058293,3.571859213787884,0,1
OL10F1i392j591,2020/2/21,20,1,3.199201618974077,2.79225105224921,1,1
OL10F1i392j591,2020/2/21,21,1,6.105386815745826,9.808724506097281,0,1
OL10F1i392j591,2020/2/21,22,1,6.616757695162783,8.24950818301993,1,1
OL10F1i392j591,2020/2/21,23,1,3.4804101878328506,4.351467375326558,0,1
OL10F1i392j591,2020/2/21,24,1,19.825204104543573,9.808724506097281,1,1
OL10F1i392j591,2020/2/21,25,1,4.652839195206576,7.469900021481258,0,1
OL10F1i392j591,2020/2/21,26,1,10.784929925437055,12.147548990713304,1,1
OL10F1i392j591,2020/2/21,27,1,5.6910219930282135,10.588332667635955,0,1
OL10F1i392j591,2020/2/21,28,1,14.474248287809692,9.808724506097281,1,1
OL10F1i392j591,2020/2/21,29,1,13.04894955960172,12.147548990713304,0,1
OL10F1i392j591,2020/2/21,30,1,16.414732740361,13.70676531379065,1,1
OL10F1i392j591,2020/2/21,31,1,12.504516690822813,12.147548990713304,0,1
OL10F1i392j591,2020/2/21,32,1,7.69399723865925,12.147548990713304,1,1
OL10F1i392j591,2020/2/21,33,1,22.50286192429702,12.927157152251977,0,1
OL10F1i392j591,2020/2/21,34,1,15.238307228778687,15.265981636868,1,1
OL10F1i392j591,2020/2/21,35,1,18.91109459647035,19.943630606100044,0,1
OL10F1i392j591,2020/2/21,36,1,17.189509578980296,14.486373475329323,1,1
OL10F1i392j591,2020/2/21,37,1,19.936197925972973,9.808724506097281,0,1
OL10F1i392j591,2020/2/21,38,1,6.16351778605255,8.24950818301993,1,1
OL10F1i392j591,2020/2/21,39,1,5.86959306743918,9.808724506097281,0,1
OL10F1i392j591,2020/2/21,40,1,8.796850740947116,11.367940829174628,1,1
OL10F1i392j591,2020/2/21,41,1,9.928224750541718,8.24950818301993,0,1
OL10F1i392j591,2020/2/21,42,1,8.605745176063763,7.469900021481258,1,1
OL10F1i392j591,2020/2/21,43,1,6.593505307040094,5.131075536865233,0,1
OL10F1i392j591,2020/2/21,44,1,1.5433772616435044,7.469900021481258,1,1
OL10F1i392j591,2020/2/21,45,1,7.966486161972016,12.927157152251977,0,1
OL10F1i392j591,2020/2/21,46,1,5.015431122494763,3.571859213787884,1,1
OL10F1i392j591,2020/2/21,47,1,8.382849236793922,5.910683698403907,0,1
OL10F1i392j591,2020/2/22,0,1,4.590166742844641,2.79225105224921,0,1
OL10F1i392j591,2020/2/22,1,1,6.222920371334732,3.571859213787884,1,1
OL10F1i392j591,2020/2/22,2,1,1.2062176338645092,2.79225105224921,0,1
OL10F1i392j591,2020/2/22,3,1,0.0,2.79225105224921,1,1
OL10F1i392j591,2020/2/22,4,1,1.1139347185025859,2.79225105224921,0,1
OL10F1i392j591,2020/2/22,5,1,0.0,-0.32618159390548757,0,1
OL10F1i392j591,2020/2/22,6,1,0.0,-0.32618159390548757,0,1
OL10F1i392j591,2020/2/22,7,1,0.0,1.2330347291718613,1,1
OL10F1i392j591,2020/2/22,8,1,0.0,1.2330347291718613,0,1
OL10F1i392j591,2020/2/22,9,1,0.8521636928401222,1.2330347291718613,1,1
OL10F1i392j591,2020/2/22,10,1,0.0,2.0126428907105356,0,1
OL10F1i392j591,2020/2/22,11,1,0.6576066015948077,0.4534265676331868,1,1
OL10F1i392j591,2020/2/22,12,1,0.593662534257412,0.4534265676331868,0,1
OL10F1i392j591,2020/2/22,13,1,0.0,-0.32618159390548757,0,1
OL10F1i392j591,2020/2/22,14,1,1.4705318894778918,3.571859213787884,0,1
OL10F1i392j591,2020/2/22,15,1,0.0,0.4534265676331868,1,1
OL10F1i392j591,2020/2/22,16,1,3.1468837456980254,3.571859213787884,0,1
OL10F1i392j591,2020/2/22,17,1,3.8034003915995824,5.131075536865233,1,1
OL10F1i392j591,2020/2/22,18,1,0.3647718386746889,0.4534265676331868,0,1
OL10F1i392j591,2020/2/22,19,1,3.1285361581949664,2.79225105224921,1,1
OL10F1i392j591,2020/2/22,20,1,3.8531750349247145,2.79225105224921,0,1
OL10F1i392j591,2020/2/22,21,1,6.9312099126657145,8.24950818301993,1,1
OL10F1i392j591,2020/2/22,22,1,1.612044470318321,2.0126428907105356,0,1
OL10F1i392j591,2020/2/22,23,1,8.353057114511726,5.910683698403907,1,1
OL10F1i392j591,2020/2/22,24,1,9.911693755860744,8.24950818301993,0,1
OL10F1i392j591,2020/2/22,25,1,11.721746843786342,4.351467375326558,1,1
OL10F1i392j591,2020/2/22,26,1,12.380080082509984,8.24950818301993,0,1
OL10F1i392j591,2020/2/22,27,1,5.885397424991321,9.029116344558606,1,1
OL10F1i392j591,2020/2/22,28,1,5.476119062175545,6.690291859942581,0,1
OL10F1i392j591,2020/2/22,29,1,3.5534372192806725,3.571859213787884,1,1
OL10F1i392j591,2020/2/22,30,1,5.442330435684762,5.910683698403907,0,1
OL10F1i392j591,2020/2/22,31,1,15.544584778582236,11.367940829174628,1,1
OL10F1i392j591,2020/2/22,32,1,23.45275831096532,16.825197959945346,0,1
OL10F1i392j591,2020/2/22,33,1,6.972809888291462,7.469900021481258,1,1
OL10F1i392j591,2020/2/22,34,1,16.496116098790413,11.367940829174628,0,1
OL10F1i392j591,2020/2/22,35,1,10.704999841265309,9.029116344558606,1,1
OL10F1i392j591,2020/2/22,36,1,9.820137477627656,9.029116344558606,0,1
OL10F1i392j591,2020/2/22,37,1,2.65240717952646,4.351467375326558,1,1
OL10F1i392j591,2020/2/22,38,1,16.7818661497044,9.808724506097281,0,1
OL10F1i392j591,2020/2/22,39,1,11.77678960629552,7.469900021481258,1,1
OL10F1i392j591,2020/2/22,40,1,2.4983601082136437,5.910683698403907,0,1
OL10F1i392j591,2020/2/22,41,1,7.765389336567195,7.469900021481258,1,1
OL10F1i392j591,2020/2/22,42,1,5.6775792061447845,6.690291859942581,0,1
OL10F1i392j591,2020/2/22,43,1,1.6770784933489677,2.79225105224921,1,1
OL10F1i392j591,2020/2/22,44,1,11.832377346651326,7.469900021481258,0,1
OL10F1i392j591,2020/2/22,45,1,1.0427242798768497,2.0126428907105356,1,1
OL10F1i392j591,2020/2/22,46,1,7.418965085395564,4.351467375326558,0,1
OL10F1i392j591,2020/2/22,47,1,4.223033333501241,4.351467375326558,1,1
OL10F1i392j591,2020/2/23,0,1,3.0971091023728943,4.351467375326558,1,1
OL10F1i392j591,2020/2/23,1,1,6.328464414297877,3.571859213787884,0,1
OL10F1i392j591,2020/2/23,2,1,1.976089671864176,2.0126428907105356,1,1
OL10F1i392j591,2020/2/23,3,1,2.908001789593835,2.79225105224921,0,1
OL10F1i392j591,2020/2/23,4,1,0.0,-0.32618159390548757,0,1
OL10F1i392j591,2020/2/23,5,1,0.9408134225578754,0.4534265676331868,0,1
OL10F1i392j591,2020/2/23,6,1,0.0,-0.32618159390548757,0,1
OL10F1i392j591,2020/2/23,7,1,0.0,-0.32618159390548757,0,1
OL10F1i392j591,2020/2/23,8,1,0.0,-0.32618159390548757,0,1
OL10F1i392j591,2020/2/23,9,1,0.0,1.2330347291718613,0,1
OL10F1i392j591,2020/2/23,10,1,0.0,1.2330347291718613,1,1
OL10F1i392j591,2020/2/23,11,1,0.0,0.4534265676331868,0,1
OL10F1i392j591,2020/2/23,12,1,0.0,-0.32618159390548757,0,1
OL10F1i392j591,2020/2/23,13,1,1.336830657772428,3.571859213787884,0,1
OL10F1i392j591,2020/2/23,14,1,2.214789968686159,4.351467375326558,1,1
OL10F1i392j591,2020/2/23,15,1,2.915994798011009,3.571859213787884,0,1
OL10F1i392j591,2020/2/23,16,1,2.8542306420601156,1.2330347291718613,1,1
OL10F1i392j591,2020/2/23,17,1,6.197306412543332,6.690291859942581,0,1
OL10F1i392j591,2020/2/23,18,1,5.38292785040258,5.910683698403907,1,1
OL10F1i392j591,2020/2/23,19,1,5.239780336022274,4.351467375326558,0,1
OL10F1i392j591,2020/2/23,20,1,5.33896630410812,2.79225105224921,1,1
