grid_id,date,time,gmv,const,cnt_call
OL10F1i678j396,2018/11/14,34,3.53957838,1,1.591085399
OL10F1i678j396,2018/11/14,35,2.661978238,1,1.022925161
OL10F1i678j396,2018/11/14,36,2.579795195,1,1.420637328
OL10F1i678j396,2018/11/14,37,2.216965799,1,1.170646823
OL10F1i678j396,2018/11/14,38,2.007346088,1,0.500217743
OL10F1i678j396,2018/11/14,39,1.989718724,1,0.682029019
OL10F1i678j396,2018/11/14,40,1.800466222,1,0.193411214
OL10F1i678j396,2018/11/14,41,1.775352,1,0.670665814
OL10F1i678j396,2018/11/14,42,1.52805172,1,0.034326348
OL10F1i678j396,2018/11/14,43,1.449371984,1,0.022963143
OL10F1i678j396,2018/11/14,44,1.337235351,1,-0.238390566
OL10F1i678j396,2018/11/14,45,0.899118702,1,-0.545197095
OL10F1i678j396,2018/11/14,46,0.545715606,1,-0.579286709
OL10F1i678j396,2018/11/14,47,0.301259839,1,-0.999725285
OL10F1i678j396,2018/11/15,0,0.480624271,1,-1.045178104
OL10F1i678j396,2018/11/15,1,0.197576706,1,-1.317895018
OL10F1i678j396,2018/11/15,2,0.534811637,1,-0.908819647
OL10F1i678j396,2018/11/15,3,0.159896138,1,-1.022451695
OL10F1i678j396,2018/11/15,4,0.130786052,1,-1.46561668
OL10F1i678j396,2018/11/15,5,0.037742138,1,-1.556522318
OL10F1i678j396,2018/11/15,6,0.117499341,1,-1.317895018
OL10F1i678j396,2018/11/15,7,0.149386215,1,-1.340621428
OL10F1i678j396,2018/11/15,8,0.178564027,1,-1.522432704
OL10F1i678j396,2018/11/15,9,0.04162102,1,-1.511069499
OL10F1i678j396,2018/11/15,10,0.212427283,1,-1.431527066
OL10F1i678j396,2018/11/15,11,0.195865073,1,-1.329258223
OL10F1i678j396,2018/11/15,12,0.419134755,1,-0.863366828
OL10F1i678j396,2018/11/15,13,0.597526387,1,-0.636102733
OL10F1i678j396,2018/11/15,14,3.323647789,1,1.170646823
OL10F1i678j396,2018/11/15,15,3.068103346,1,1.352458099
OL10F1i678j396,2018/11/15,16,2.802787814,1,1.272915666
OL10F1i678j396,2018/11/15,17,2.046947626,1,0.318406467
OL10F1i678j396,2018/11/15,18,2.23437767,1,1.034288366
OL10F1i678j396,2018/11/15,19,2.041289384,1,0.920656319
OL10F1i678j396,2018/11/15,20,2.370212425,1,0.500217743
OL10F1i678j396,2018/11/15,21,1.953398843,1,0.579760176
OL10F1i678j396,2018/11/15,22,2.044361705,1,0.363859286
OL10F1i678j396,2018/11/15,23,2.465620609,1,1.011561957
OL10F1i678j396,2018/11/15,24,1.650735218,1,0.034326348
OL10F1i678j396,2018/11/15,25,1.825007847,1,0.647939404
OL10F1i678j396,2018/11/15,26,1.675184488,1,0.443401719
OL10F1i678j396,2018/11/15,27,1.612488209,1,0.18204801
OL10F1i678j396,2018/11/15,28,2.008158806,1,0.420675309
OL10F1i678j396,2018/11/15,29,1.930310259,1,0.341132876
OL10F1i678j396,2018/11/15,30,2.421309,1,0.602486585
OL10F1i678j396,2018/11/15,31,1.952081254,1,0.61384979
OL10F1i678j396,2018/11/15,32,0.663535108,1,0.034326348
OL10F1i678j396,2018/11/15,33,2.44240273,1,0.954745933
OL10F1i678j396,2018/11/15,34,2.786367213,1,1.841075904
OL10F1i678j396,2018/11/15,35,1.922940383,1,0.670665814
OL10F1i678j396,2018/11/15,36,2.648796196,1,1.466090147
OL10F1i678j396,2018/11/15,37,1.885487622,1,0.909293114
OL10F1i678j396,2018/11/15,38,1.77549361,1,0.784297862
OL10F1i678j396,2018/11/15,39,1.669292282,1,-0.033852881
OL10F1i678j396,2018/11/15,40,1.666022938,1,0.443401719
OL10F1i678j396,2018/11/15,41,2.357892357,1,0.920656319
OL10F1i678j396,2018/11/15,42,1.995475477,1,0.579760176
OL10F1i678j396,2018/11/15,43,1.832439292,1,0.170684805
OL10F1i678j396,2018/11/15,44,1.287739584,1,0.034326348
OL10F1i678j396,2018/11/15,45,1.031622544,1,-0.340659409
OL10F1i678j396,2018/11/15,46,0.459013356,1,-1.101994128
OL10F1i678j396,2018/11/15,47,0.24999087,1,-1.124720537
OL10F1i678j396,2018/11/16,0,0.220141949,1,-1.272442199
OL10F1i678j396,2018/11/16,1,0.109409102,1,-1.022451695
OL10F1i678j396,2018/11/16,2,0.167924808,1,-1.386074247
OL10F1i678j396,2018/11/16,3,0.044834951,1,-1.567885523
OL10F1i678j396,2018/11/16,4,0.015022972,1,-1.636064751
OL10F1i678j396,2018/11/16,5,0.10745119,1,-1.556522318
OL10F1i678j396,2018/11/16,6,0.196813244,1,-1.522432704
OL10F1i678j396,2018/11/16,7,0.122061645,1,-1.408800656
OL10F1i678j396,2018/11/16,8,0.043714385,1,-1.590611932
OL10F1i678j396,2018/11/16,9,0.039712364,1,-1.579248728
OL10F1i678j396,2018/11/16,10,0.033740117,1,-1.590611932
OL10F1i678j396,2018/11/16,11,0.2081051,1,-1.454253475
OL10F1i678j396,2018/11/16,12,0.389396659,1,-0.908819647
OL10F1i678j396,2018/11/16,13,0.426012074,1,-0.783824395
OL10F1i678j396,2018/11/16,14,2.452266173,1,0.829750681
OL10F1i678j396,2018/11/16,15,3.281238679,1,1.56835899
OL10F1i678j396,2018/11/16,16,2.679962706,1,1.295642076
OL10F1i678j396,2018/11/16,17,1.980975847,1,0.3979489
OL10F1i678j396,2018/11/16,18,2.57009799,1,0.738845043
OL10F1i678j396,2018/11/16,19,2.21370877,1,0.682029019
OL10F1i678j396,2018/11/16,20,2.187030681,1,0.3979489
OL10F1i678j396,2018/11/16,21,2.023742061,1,0.18204801
OL10F1i678j396,2018/11/16,22,1.590113832,1,0.170684805
OL10F1i678j396,2018/11/16,23,1.816018692,1,0.488854538
OL10F1i678j396,2018/11/16,24,2.100525454,1,0.750208247
OL10F1i678j396,2018/11/16,25,2.374128249,1,0.784297862
OL10F1i678j396,2018/11/16,26,2.646278002,1,0.807024271
OL10F1i678j396,2018/11/16,27,2.637036411,1,0.988835547
OL10F1i678j396,2018/11/16,28,2.205944849,1,0.682029019
OL10F1i678j396,2018/11/16,29,1.920890117,1,0.511580947
OL10F1i678j396,2018/11/16,30,1.761123275,1,0.568396971
OL10F1i678j396,2018/11/16,31,2.784809503,1,1.375184509
OL10F1i678j396,2018/11/16,32,1.615652884,1,0.625212995
OL10F1i678j396,2018/11/16,33,1.144313303,1,0.3979489
OL10F1i678j396,2018/11/16,34,0.32279687,1,-0.170211338
OL10F1i678j396,2018/11/16,35,0.34047349,1,-0.647465938
OL10F1i678j396,2018/11/16,36,1.017424604,1,0.602486585
OL10F1i678j396,2018/11/16,37,0.599749048,1,-0.272480181
OL10F1i678j396,2018/11/16,38,1.545500532,1,0.886566704
OL10F1i678j396,2018/11/16,39,1.484060272,1,0.432038514
OL10F1i678j396,2018/11/16,40,2.054847001,1,0.750208247
OL10F1i678j396,2018/11/16,41,2.310422229,1,1.113830799
OL10F1i678j396,2018/11/16,42,2.29581793,1,1.102467595
OL10F1i678j396,2018/11/16,43,1.583729069,1,0.13659519
OL10F1i678j396,2018/11/16,44,1.67898333,1,0.250227238
OL10F1i678j396,2018/11/16,45,1.223504066,1,-0.306569795
OL10F1i678j396,2018/11/16,46,0.751265569,1,-0.761097985
OL10F1i678j396,2018/11/16,47,0.284248171,1,-1.158810152
OL10F1i678j396,2018/11/19,0,0.089509821,1,-1.215626175
OL10F1i678j396,2018/11/19,1,0.077288264,1,-1.306531813
OL10F1i678j396,2018/11/19,2,0.069487401,1,-1.511069499
OL10F1i678j396,2018/11/19,3,0.126790187,1,-1.351984632
OL10F1i678j396,2018/11/19,4,0.032447156,1,-1.46561668
OL10F1i678j396,2018/11/19,5,0.006156956,1,-1.658791161
OL10F1i678j396,2018/11/19,6,0.054778434,1,-1.636064751
OL10F1i678j396,2018/11/19,7,0.006156956,1,-1.647427956
OL10F1i678j396,2018/11/19,8,0.013606872,1,-1.670154366
OL10F1i678j396,2018/11/19,9,0.007265208,1,-1.658791161
OL10F1i678j396,2018/11/19,10,0.069241123,1,-1.567885523
OL10F1i678j396,2018/11/19,11,0.038271636,1,-1.511069499
OL10F1i678j396,2018/11/19,12,0.337949138,1,-0.840640418
OL10F1i678j396,2018/11/19,13,0.34957347,1,-0.692918757
OL10F1i678j396,2018/11/19,14,1.200520151,1,0.318406467
OL10F1i678j396,2018/11/19,15,0.534060488,1,-0.272480181
OL10F1i678j396,2018/11/19,16,0.333122084,1,-0.567923504
OL10F1i678j396,2018/11/19,17,1.184709089,1,-0.067942495
OL10F1i678j396,2018/11/19,18,2.738749318,1,1.238826052
OL10F1i678j396,2018/11/19,19,1.942353264,1,0.625212995
OL10F1i678j396,2018/11/19,20,1.848213413,1,0.068415962
OL10F1i678j396,2018/11/19,21,1.647096457,1,0.352496081
OL10F1i678j396,2018/11/19,22,1.589393469,1,0.284316852
OL10F1i678j396,2018/11/19,23,2.060776149,1,0.659302609
OL10F1i678j396,2018/11/19,24,2.23559059,1,0.488854538
