gmv,const,cnt_call,sum_online_time,cnt_call_lag,sum_online_time_lag,is_exp,cnt_answer,cnt_finish,date,time
0.271705067,1,0.156309115,0.434326088,0.142732864,0.432063492,-1,0.212078125,0.148669799,3,10
0.358404926,1,0.222833039,0.456690851,0.156309115,0.434326088,1,0.239596952,0.138853012,3,11
0.369944792,1,0.349713261,0.552143403,0.222833039,0.456690851,1,0.287550048,0.169631986,3,12
0.365448859,1,0.54564614,0.828242926,0.349713261,0.552143403,-1,0.427302777,0.312199546,3,13
0.804952818,1,0.858610402,1.357764137,0.54564614,0.828242926,-1,0.800666077,0.761865004,3,14
2.003676881,1,1.301101157,2.138050031,0.858610402,1.357764137,1,1.560712588,1.563597191,3,15
3.082743535,1,1.718826331,2.880658206,1.301101157,2.138050031,1,2.228073515,2.175883347,3,16
2.937471488,1,1.972338173,3.129363378,1.718826331,2.880658206,-1,2.333470266,2.547225337,3,17
2.742858869,1,2.219639091,3.146160579,1.972338173,3.129363378,-1,2.406228353,2.815971056,3,18
2.849988265,1,2.521450155,3.059791362,2.219639091,3.146160579,1,2.645859264,3.022264452,3,19
2.711112274,1,2.667403112,2.709344922,2.521450155,3.059791362,1,2.575841125,2.768109417,3,20
2.424869696,1,2.620466878,2.117351075,2.667403112,2.709344922,-1,2.26110772,2.320186234,3,21
2.304880608,1,2.672360136,1.694023197,2.620466878,2.117351075,-1,2.376986867,2.2163079,3,22
2.523504836,1,2.815984383,1.532429637,2.672360136,1.694023197,1,2.687830202,2.30090834,3,23
2.57317333,1,2.735586651,1.423464384,2.815984383,1.532429637,1,2.65655034,2.328999216,3,24
2.541350533,1,2.461412258,1.415141719,2.735586651,1.423464384,-1,2.388819093,2.197893408,3,25
2.439311145,1,2.289882711,1.579128912,2.461412258,1.415141719,-1,2.339435625,2.290488617,3,26
2.662496367,1,2.264580465,1.858571246,2.289882711,1.579128912,1,2.493085686,2.582212024,3,27
2.430692267,1,2.223110199,2.048204604,2.264580465,1.858571246,1,2.513847768,2.543436043,3,28
1.929200762,1,2.193761772,2.015439216,2.223110199,2.048204604,-1,2.307719605,2.243523003,3,29
2.025659999,1,2.364151383,2.051896107,2.193761772,2.015439216,-1,2.322974207,2.222760134,3,30
2.52601525,1,2.678332032,2.145190436,2.364151383,2.051896107,1,2.566578187,2.512380326,3,31
2.721413315,1,2.843921787,2.128181916,2.678332032,2.145190436,1,2.650309204,2.682044111,3,32
2.356902672,1,2.80670196,2.073333489,2.843921787,2.128181916,-1,2.445645096,2.557348479,3,33
2.693876259,1,2.879474445,2.36855968,2.80670196,2.073333489,-1,2.492059828,2.604711328,3,34
3.408421212,1,3.114696671,3.03131579,2.879474445,2.36855968,1,3.176128005,3.143206628,3,35
3.322738305,1,3.205553578,3.470130282,3.114696671,3.03131579,1,3.689244463,3.380860298,3,36
2.679604479,1,3.075078452,3.333488888,3.205553578,3.470130282,-1,3.30108036,2.789591544,3,37
2.448136635,1,3.036587053,2.997883278,3.075078452,3.333488888,-1,2.906791602,2.555606117,3,38
2.726007808,1,3.102720557,2.969544065,3.036587053,2.997883278,1,2.791464164,2.651748802,3,39
2.632223702,1,2.990425054,3.043452906,3.102720557,2.969544065,1,2.73993492,2.715436527,3,40
2.688469008,1,2.75656413,3.11059103,2.990425054,3.043452906,-1,2.6370524,2.574440065,3,41
2.977831003,1,2.730646322,3.205992787,2.75656413,3.11059103,-1,2.783128681,2.635075228,3,42
3.079374988,1,2.846185696,3.101527506,2.730646322,3.205992787,1,3.076027229,2.893241132,3,43
2.583561425,1,2.713832556,2.508199333,2.846185696,3.101527506,1,2.699827265,2.471155106,3,44
2.032194506,1,2.279975943,1.826116473,2.713832556,2.508199333,-1,2.062345536,1.844472293,3,45
1.679973046,1,1.800175249,1.456111994,2.279975943,1.826116473,-1,1.636803539,1.451975455,3,46
1.470856976,1,1.280670807,1.351963597,1.800175249,1.456111994,1,1.163688637,1.085191087,3,47
0.836475812,1,0.637567226,1.221416728,1.280670807,1.351963597,1,0.797835885,0.766780229,3,48
0.72300906,1,0.53848323,0.963666506,0.637567226,1.221416728,1,0.556157595,0.463783078,4,1
0.611328342,1,0.462935174,0.828411828,0.53848323,0.963666506,1,0.502488297,0.446910695,4,2
0.447676817,1,0.372238535,0.644046199,0.462935174,0.828411828,-1,0.401335086,0.365856253,4,3
0.37725638,1,0.309939585,0.517875961,0.372238535,0.644046199,-1,0.34914598,0.322994807,4,4
0.360822785,1,0.269716211,0.459987285,0.309939585,0.517875961,1,0.339434289,0.311617646,4,5
0.308678376,1,0.226277786,0.429024922,0.269716211,0.459987285,1,0.302595098,0.272295153,4,6
0.252398327,1,0.185194205,0.398412998,0.226277786,0.429024922,-1,0.248359099,0.217810415,4,7
0.250750607,1,0.164451381,0.366747669,0.185194205,0.398412998,-1,0.231813333,0.196543093,4,8
0.274382961,1,0.160967748,0.342436769,0.164451381,0.366747669,1,0.239464626,0.196645665,4,9
0.285207766,1,0.167051446,0.339069643,0.160967748,0.342436769,1,0.218601472,0.177134035,4,10
0.293427893,1,0.201882013,0.376648088,0.167051446,0.339069643,-1,0.180532952,0.147329382,4,11
0.330546737,1,0.309750712,0.524153931,0.201882013,0.376648088,-1,0.22073339,0.166067787,4,12
0.455377443,1,0.536490696,0.892919565,0.309750712,0.524153931,1,0.439661617,0.330052816,4,13
0.952862821,1,0.871694498,1.515008209,0.536490696,0.892919565,1,0.887284728,0.725475128,4,14
1.818300715,1,1.265877974,2.23029675,0.871694498,1.515008209,-1,1.471497598,1.324451952,4,15
2.862885084,1,1.751118065,2.981720999,1.265877974,2.23029675,-1,2.200356632,2.128753204,4,16
3.844801213,1,2.320829829,3.683930339,1.751118065,2.981720999,1,2.961339895,2.967608553,4,17
3.703242435,1,2.671034415,3.798138903,2.320829829,3.683930339,1,3.128391398,3.109965616,4,18
2.859207821,1,2.721213674,3.260453922,2.671034415,3.798138903,-1,2.777166172,2.724512087,4,19
2.513951292,1,2.757792038,2.614073198,2.721213674,3.260453922,-1,2.574712928,2.51317873,4,20
2.46509955,1,2.832835108,2.050659631,2.757792038,2.614073198,1,2.658844529,2.531301451,4,21
2.296342302,1,2.754803721,1.586625955,2.832835108,2.050659631,1,2.58208296,2.299063536,4,22
2.009301052,1,2.581535669,1.307747527,2.754803721,1.586625955,-1,2.269515652,2.028039907,4,23
2.073577277,1,2.57650935,1.287218963,2.581535669,1.307747527,-1,2.26162566,2.085827949,4,24
2.607027702,1,2.726230326,1.464064036,2.57650935,1.287218963,1,2.550476517,2.469141893,4,25
2.774778987,1,2.75915335,1.597736843,2.726230326,1.464064036,1,2.639527969,2.599132104,4,26
2.439968839,1,2.637553331,1.619127528,2.75915335,1.597736843,-1,2.434313336,2.364693787,4,27
2.389601613,1,2.632712543,1.716332222,2.637553331,1.619127528,-1,2.400119769,2.351606656,4,28
2.632206352,1,2.791616349,1.878010475,2.632712543,1.716332222,1,2.580716708,2.527309621,4,29
